country,institutions,impact,or20,calcs,laptops,desktops,tablets,scanners,lego,hable,robotic,cb,maint,learners,male,female,lat,lng,flag,color
Kenya,72,4129,1372,311,85,108,30,9,71,18,15,179,2006,4129,,,-1.286,36.82,Kenya,#F5C018
Rwanda,5,291,130,0,0,0,0,0,0,0,0,18,1164,130,73,57,-1.954,30.06,Rwanda,#CC2200
Malawi,28,512,380,0,0,0,0,0,0,0,0,,,271,169,102,-13.962,33.774,Malawi,#888888
Tanzania,30,591,416,23,0,0,0,0,0,0,0,,,394,220,153,-6.369,34.889,Tanzania,#00b0cc
Uganda,36,1687,549,20,10,0,0,0,0,0,0,38,1060,316,187,134,0.348,32.583,Uganda,#6c3483
